year,type,value
1882,animals,224.62686567164172
1882,farmers,53.28358208955228
1882,fertilizers,0
1882,fuels,0
1882,others,0
1883,animals,224.75746268656712
1883,farmers,53.80597014925377
1883,fertilizers,0
1883,fuels,0
1883,others,0
1884,animals,227.90049751243777
1884,farmers,53.45771144278609
1884,fertilizers,0
1884,fuels,0
1884,others,0
1885,animals,223.05970149253722
1885,farmers,50.14925373134332
1885,fertilizers,0
1885,fuels,0
1885,others,0
1886,animals,223.05970149253727
1886,farmers,50.14925373134332
1886,fertilizers,0
1886,fuels,0
1886,others,0
1887,animals,222.01492537313425
1887,farmers,50.14925373134332
1887,fertilizers,0
1887,fuels,0
1887,others,0
1888,animals,221.49253731343276
1888,farmers,50.14925373134332
1888,fertilizers,0
1888,fuels,0
1888,others,0
1889,animals,221.49253731343276
1889,farmers,50.14925373134332
1889,fertilizers,0
1889,fuels,0
1889,others,0
1890,animals,221.49253731343276
1890,farmers,50.671641791044806
1890,fertilizers,0
1890,fuels,0
1890,others,0
1891,animals,219.92537313432825
1891,farmers,51.19402985074629
1891,fertilizers,0
1891,fuels,0
1891,others,0
1892,animals,218.35820895522377
1892,farmers,51.36815920398012
1892,fertilizers,0
1892,fuels,0
1892,others,0
1893,animals,210.41791044776113
1893,farmers,51.716417910447774
1893,fertilizers,0
1893,fuels,0
1893,others,0
1894,animals,210.74004975124373
1894,farmers,51.89054726368162
1894,fertilizers,0
1894,fuels,0
1894,others,0
1895,animals,215.57213930348252
1895,farmers,56.06965174129357
1895,fertilizers,0
1895,fuels,0
1895,others,0
1896,animals,216.5298507462686
1896,farmers,57.985074626865696
1896,fertilizers,0
1896,fuels,0
1896,others,0
1897,animals,217.31343283582083
1897,farmers,57.985074626865696
1897,fertilizers,0
1897,fuels,0
1897,others,0
1898,animals,218.6194029850746
1898,farmers,58.50746268656718
1898,fertilizers,0
1898,fuels,0
1898,others,0
1899,animals,219.9253731343283
1899,farmers,58.50746268656718
1899,fertilizers,0
1899,fuels,0
1899,others,0
1900,animals,222.5373134328358
1900,farmers,58.50746268656718
1900,fertilizers,0
1900,fuels,0
1900,others,0
1901,animals,226.36815920398004
1901,farmers,58.50746268656718
1901,fertilizers,0
1901,fuels,0
1901,others,0
1902,animals,228.28358208955217
1902,farmers,58.50746268656718
1902,fertilizers,0
1902,fuels,0
1902,others,0
1903,animals,230.37313432835816
1903,farmers,58.76865671641792
1903,fertilizers,0
1903,fuels,0
1903,others,0
1904,animals,230.37313432835816
1904,farmers,59.55223880597015
1904,fertilizers,0
1904,fuels,0
1904,others,0
1905,animals,233.68159203980096
1905,farmers,61.99004975124378
1905,fertilizers,0
1905,fuels,0
1905,others,0
1906,animals,232.72388059701487
1906,farmers,63.99253731343285
1906,fertilizers,0
1906,fuels,0
1906,others,0
1907,animals,230.1990049751243
1907,farmers,64.25373134328362
1907,fertilizers,0
1907,fuels,0
1907,others,0
1908,animals,234.9004975124377
1908,farmers,64.25373134328362
1908,fertilizers,0
1908,fuels,0
1908,others,0
1909,animals,237.42537313432825
1909,farmers,64.25373134328362
1909,fertilizers,0
1909,fuels,0
1909,others,0
1910,animals,238.20895522388054
1910,farmers,64.25373134328362
1910,fertilizers,NA
1910,fuels,0
1910,others,0
1911,animals,237.4253731343283
1911,farmers,64.7761194029851
1911,fertilizers,NA
1911,fuels,0
1911,others,0
1912,animals,238.73134328358202
1912,farmers,64.7761194029851
1912,fertilizers,NA
1912,fuels,0
1912,others,0
1913,animals,231.90298507462677
1913,farmers,64.51492537313436
1913,fertilizers,NA
1913,fuels,0
1913,others,0
1914,animals,201.1194029850746
1914,farmers,62.68656716417911
1914,fertilizers,NA
1914,fuels,0
1914,others,0
1915,animals,169.95024875621885
1915,farmers,63.731343283582106
1915,fertilizers,NA
1915,fuels,0
1915,others,0
1916,animals,172.910447761194
1916,farmers,63.73134328358208
1916,fertilizers,NA
1916,fuels,0
1916,others,0
