Country;Date;Year;NDVI
France;janv-01;2019;0.586
France;janv-02;2019;0.586
France;janv-03;2019;0.598
France;janv-04;2019;0.597
France;janv-05;2019;0.597
France;janv-06;2019;0.596
France;janv-07;2019;0.595
France;janv-08;2019;0.589
France;janv-09;2019;0.588
France;janv-10;2019;0.586
France;janv-11;2019;0.585
France;janv-12;2019;0.578
France;janv-13;2019;0.575
France;janv-14;2019;0.572
France;janv-15;2019;0.572
France;janv-16;2019;0.572
France;janv-17;2019;0.572
France;janv-18;2019;0.571
France;janv-19;2019;0.57
France;janv-20;2019;0.571
France;janv-21;2019;0.566
France;janv-22;2019;0.564
France;janv-23;2019;0.562
France;janv-24;2019;0.559
France;janv-25;2019;0.555
France;janv-26;2019;0.543
France;janv-27;2019;0.547
France;janv-28;2019;0.541
France;janv-29;2019;0.519
France;janv-30;2019;0.512
France;janv-31;2019;0.513
France;Feb 1;2019;0.513
France;Feb 2;2019;0.511
France;Feb 3;2019;0.514
France;Feb 4;2019;0.516
France;Feb 5;2019;0.522
France;Feb 6;2019;0.525
France;Feb 7;2019;0.525
France;Feb 8;2019;0.525
France;Feb 9;2019;0.53
France;Feb 10;2019;0.536
France;Feb 11;2019;0.534
France;Feb 12;2019;0.533
France;Feb 13;2019;0.529
France;Feb 14;2019;0.529
France;Feb 15;2019;0.529
France;Feb 16;2019;0.529
France;Feb 17;2019;0.527
France;Feb 18;2019;0.528
France;Feb 19;2019;0.527
France;Feb 20;2019;0.528
France;Feb 21;2019;0.528
France;Feb 22;2019;0.528
France;Feb 23;2019;0.527
France;Feb 24;2019;0.528
France;Feb 25;2019;0.529
France;Feb 26;2019;0.53
France;Feb 27;2019;0.531
France;Feb 28;2019;0.532
France;mars-01;2019;0.535
France;mars-02;2019;0.537
France;mars-03;2019;0.538
France;mars-04;2019;0.545
France;mars-05;2019;0.547
France;mars-06;2019;0.556
France;mars-07;2019;0.564
France;mars-08;2019;0.584
France;mars-09;2019;0.594
France;mars-10;2019;0.598
France;mars-11;2019;0.598
France;mars-12;2019;0.599
France;mars-13;2019;0.599
France;mars-14;2019;0.601
