Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","44","Barley","1980","1980","ha","3862177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","44","Barley","2018","2018","ha","2698567","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","44","Barley","1980","1980","hg/ha","8946","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","44","Barley","2018","2018","hg/ha","17914","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","44","Barley","1980","1980","tonnes","3455084","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","44","Barley","2018","2018","tonnes","4834211","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","89","Buckwheat","1980","1980","ha","7350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","89","Buckwheat","2018","2018","ha","12177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","89","Buckwheat","1980","1980","hg/ha","7891","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","89","Buckwheat","2018","2018","hg/ha","11056","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","89","Buckwheat","1980","1980","tonnes","5800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","89","Buckwheat","2018","2018","tonnes","13463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","56","Maize","1980","1980","ha","7800017","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","56","Maize","2018","2018","ha","12358656","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","56","Maize","1980","1980","hg/ha","12285","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","56","Maize","2018","2018","hg/ha","34393","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","56","Maize","1980","1980","tonnes","9582424","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","56","Maize","2018","2018","tonnes","42505217","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","79","Millet","1980","1980","ha","18820691","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","79","Millet","2018","2018","ha","9959868","A","Aggregate, may include official, semi-official, estimated or calculated data"
